segment_id,n_pixels,centroid_row,centroid_col,centroid_x,centroid_y,mean_B2,mean_B3,mean_B4,mean_B8,mean_NDVI,mean_B11,mean_NDBI
157,1037,282.12537,3007.999,200749.984375,3378458.75,258.05643,407.90262,293.47687,2472.8462,0.7831436,1818.4613,-0.13926053
158,1211,289.22626,2405.0925,194720.921875,3378387.75,350.02148,543.6156,489.93024,2390.4175,0.66205674,1808.051,-0.13009728
159,1122,288.15598,3169.8752,202368.75,3378398.5,391.51605,551.5887,635.94116,2143.3962,0.5490055,1821.2604,-0.066668436
160,1054,289.01138,3136.817,202038.171875,3378390.0,377.98434,535.982,576.8306,2150.7898,0.58826643,1820.6897,-0.06459655
161,1209,290.64847,3292.0115,203590.109375,3378373.5,442.3536,638.7022,725.96606,2320.124,0.53398615,1823.3712,-0.102114335
162,1047,289.11844,2353.1423,194201.421875,3378388.75,612.38684,872.128,931.341,2106.3801,0.3850234,1807.1537,-0.06996912
163,1224,293.8889,3364.3562,204313.5625,3378341.0,323.85132,472.67975,428.2406,2612.6953,0.7223903,1824.6224,-0.13091345
164,1301,297.35742,3202.3328,202693.328125,3378306.5,281.05957,403.6199,396.43506,2099.5454,0.6827001,1821.8253,-0.052069075
165,1213,298.61334,2943.9192,200109.1875,3378293.75,257.25638,412.4798,350.40973,2141.1897,0.7310697,1817.3623,-0.06877299
166,1141,294.9448,3237.3005,203043.0,3378330.5,316.04907,441.54822,420.0263,2227.1538,0.6875751,1822.4282,-0.06986908
167,1129,297.4287,3510.389,205773.890625,3378305.75,271.43668,387.0859,302.03497,2567.1975,0.7877136,1827.1467,-0.14415081
168,1050,294.8143,3053.6504,201206.5,3378331.75,269.59763,408.48618,331.40475,2297.8462,0.751041,1819.2559,-0.108909465
169,1294,301.90417,2809.8516,198768.515625,3378261.0,178.07883,319.06183,218.60124,2521.673,0.8395996,1815.0482,-0.15479034
170,1247,302.32397,2500.2776,195672.78125,3378256.75,288.98917,495.0056,417.4062,2280.9355,0.6910879,1809.7014,-0.10753749
171,1185,298.4017,3088.7166,201557.171875,3378296.0,283.82785,403.3751,323.71307,2365.0178,0.7622857,1819.8633,-0.11634624
172,1263,301.28503,3326.1172,203931.171875,3378267.25,309.7383,465.69635,578.11163,2108.9795,0.5802261,1823.9655,-0.054120015
173,1134,296.70547,2261.342,193283.421875,3378313.0,659.74915,843.96826,879.5948,1801.1857,0.34417552,1805.5718,0.024517342
174,1246,299.96228,2674.0378,197410.375,3378280.5,161.06982,283.0943,197.24278,2232.6572,0.83768255,1812.7014,-0.09811471
175,1310,297.18015,2744.4893,198114.890625,3378308.25,183.06183,323.65802,231.88931,2462.5923,0.8247497,1813.917,-0.1349215
176,1155,300.2052,2844.098,199110.984375,3378278.0,156.00606,288.23636,197.59567,2350.7896,0.84446293,1815.6389,-0.11750701
177,1116,302.97403,2199.2322,192662.328125,3378250.25,586.785,753.0806,791.7482,1941.3351,0.43191457,1804.5022,-0.029578878
178,1045,302.6,2986.3186,200533.1875,3378254.0,261.733,412.45743,326.02917,2229.212,0.7421401,1818.0966,-0.08736912
179,1143,304.0831,2084.2336,191512.34375,3378239.25,588.63995,738.9405,766.1111,1915.3525,0.42506638,1802.5166,-0.017952854
180,1130,303.83893,2159.555,192265.546875,3378241.5,624.6509,787.81415,857.7274,1880.8907,0.3859523,1803.8174,-0.0045130267
181,1099,304.8717,2612.1038,196791.03125,3378231.25,392.47272,622.909,660.5419,2573.5732,0.6044921,1811.634,-0.16208506
182,1172,305.41895,2540.25,196072.5,3378225.75,315.13098,536.0525,477.91467,2305.4846,0.65709054,1810.3933,-0.11074459
183,1097,304.32178,2574.4685,196414.6875,3378236.75,392.45486,600.3373,590.7124,2301.8843,0.602989,1810.9838,-0.108731605
184,1186,305.5784,2904.328,199713.28125,3378224.25,469.7125,703.67114,726.4022,2304.8972,0.56250626,1816.6818,-0.10565954
185,1474,316.3894,2013.6526,190806.53125,3378116.0,752.96576,991.6821,1074.024,2109.1584,0.3375024,1801.3037,-0.07398339
186,1236,308.68448,2120.4846,191874.84375,3378193.25,595.2706,746.19336,762.39197,1661.3455,0.3638105,1803.1449,0.0667138
187,1106,309.81464,2375.2007,194422.0,3378181.75,472.0479,659.68445,647.3083,2076.8281,0.52905536,1807.5447,-0.057468157
188,964,305.1691,3402.3735,204693.734375,3378228.25,274.38278,408.5643,408.97614,2177.806,0.69236946,1825.2844,-0.07526062
189,1081,311.51712,3026.0952,200930.953125,3378164.75,218.00925,365.01294,272.8187,2197.9824,0.7804344,1818.788,-0.08774168
190,1067,312.84442,3569.1707,206361.703125,3378151.5,264.52484,368.56702,333.20618,1910.6279,0.6999189,1828.1693,0.020767061
191,1163,309.46603,2302.712,193697.125,3378185.25,442.97763,623.99744,643.7386,2016.8478,0.5232866,1806.2926,-0.03470735
192,1213,312.38168,2048.1648,191151.65625,3378156.25,560.9192,774.8289,799.5,2147.9834,0.4594256,1801.8977,-0.075099
193,1117,311.94092,2233.2937,193002.9375,3378160.5,714.10297,869.57074,941.9566,1880.4731,0.34544277,1805.0948,-0.009487283
194,1359,311.0059,3464.6616,205316.625,3378170.0,447.95807,655.8113,771.8639,2574.17,0.54931396,1826.3632,-0.14823039
195,1211,311.23535,2437.1082,195041.078125,3378167.75,262.45996,475.27167,341.47235,2596.5698,0.76389104,1808.6146,-0.17094196
196,1081,315.0925,3120.4524,201874.53125,3378129.0,338.4468,484.93756,442.6804,2302.9607,0.68418753,1820.4194,-0.1004645
197,1202,316.6739,3263.6921,203306.921875,3378113.25,481.183,677.3453,799.98834,2367.2678,0.5063108,1822.8944,-0.09841677
198,1235,313.27368,2709.1213,197761.21875,3378147.25,198.32956,340.9182,233.55061,2609.0112,0.8344433,1813.3138,-0.17158802
199,1279,319.3198,2776.7327,198437.328125,3378086.75,178.72087,318.3182,224.00078,2427.2534,0.8293498,1814.4845,-0.1320037
200,1189,319.85956,2872.6375,199396.375,3378081.5,167.44154,308.56433,221.8974,2364.5046,0.8266583,1816.1412,-0.12336901
201,1256,321.19586,2337.9092,194049.09375,3378068.0,576.7707,780.8889,807.2723,2143.4963,0.44987717,1806.9062,-0.0752629
202,1008,317.4524,3537.5972,206045.96875,3378105.5,336.9132,450.71378,400.47668,2553.5217,0.7228297,1827.6261,-0.14644344
203,1291,322.52826,2470.5872,195375.875,3378054.75,282.68784,485.80637,387.19095,2342.4968,0.7158004,1809.1984,-0.1223129
